User Input,Chatbot Response,Timestamp
Hi,Hello!,2025-01-31 23:08:36
heyy,Good to see you again!,2025-01-31 23:08:44
namr,"CBPGEC offers Information Technology, Civil Engineering and Mechanical Engineering.",2025-01-31 23:09:06
name,I'm Rawkush,2025-01-31 23:09:08
name,You can call me Rawkush.,2025-01-31 23:09:12
goodbye,Sad to see you go :(,2025-01-31 23:09:22
Hi,Hello!,2025-01-31 23:11:02
Hi,Good to see you again!,2025-01-31 23:11:32
name,I'm Rawkush,2025-01-31 23:11:35
about,"For Fee detail visit <a target=""_blank"" href=""http://www.ipu.ac.in/Pubinfo2019/Admission2019mian/adm2019main.htm/""> here</a>",2025-01-31 23:11:42
goodbye,Come back soon,2025-01-31 23:11:54
2025-01-31 23:15:41.864250,Hi,Hello!
2025-01-31 23:15:45.389801,name,I'm Rawkush
2025-01-31 23:15:52.920695,Heyy,Hello!
2025-01-31 23:15:55.895675,bye,Sad to see you go :(
2025-01-31 23:16:03.564000,good morning,"welcome, anything else i can assist you with?"
2025-01-31 23:16:48.175301,Hi,Good to see you again!
